date;positive;negative;meanpos;meanneg
2017-09-13;0,0792;0,0;0.14892243814520026;0.017142862489947466
2018-01-20;1,0934;0,4652;0.14892243814520026;0.017142862489947466
2018-02-20;0,6;0,0;0.14892243814520026;0.017142862489947466
2018-03-20;0,3;0,0;0.14892243814520026;0.017142862489947466
2018-04-20;0,0;0,0;0.14892243814520026;0.017142862489947466
2018-05-14;0,4667;0,0;0.14892243814520026;0.017142862489947466
2018-06-29;0,2917;0,0;0.14892243814520026;0.017142862489947466
2018-07-17;0,1667;0,0;0.14892243814520026;0.017142862489947466
2018-08-13;0,0;0,0333;0.14892243814520026;0.017142862489947466
2018-09-20;0,0;0,0;0.14892243814520026;0.017142862489947466
